ID,address,city,ABBRV,state,lon,lat,name,postalCode(3)
4163,1333 Park St,Stoughton,MA,Massachusetts,-71.067946,42.101956,Burger King,02072
4166,329 Washington St,Boston,MA,Massachusetts,-71.05896,42.35688,McDonald's,02108
4222,1 Center Plz,Boston,MA,Massachusetts,-71.06082,42.36065,Burger King,02108
4246,262 Washington St,Boston,MA,Massachusetts,-71.05787,42.35791,Subway,02108
4165,3 Post Office Sq,Boston,MA,Massachusetts,-71.05583,42.35678,Dunkin' Donuts,02109
4225,1 Faneuil Hall Market Pl,Boston,MA,Massachusetts,-71.05575085,42.35974896,Boston Chowda Company,02109
4223,58 Summer St,Boston,MA,Massachusetts,-71.05866,42.354416,Five Guys,02110
4143,144 Tremont St,Boston,MA,Massachusetts,-71.06302,42.35545,Subway,02111
4207,718 American Legion Hwy,Roslindale,MA,Massachusetts,-71.11364,42.28321,McDonald's,02131
4217,5315 Washington St,West Roxbury,MA,Massachusetts,-71.160706,42.258385,Blimpie,02132
4228,1650 Vfw Pkwy,West Roxbury,MA,Massachusetts,-71.167991,42.264412,McDonald's,02132
4205,260 Western Ave,Allston,MA,Massachusetts,-71.133224,42.36313,Subway,02134
4175,185 Somerville Ave,Somerville,MA,Massachusetts,-71.089831,42.377838,Burger King,02143
4181,282 Somerville Ave,Somerville,MA,Massachusetts,-71.0940013,42.3790404,Dunkin Donuts,02143
4264,150 Everett Ave,Chelsea,MA,Massachusetts,-71.03969,42.3958,Burger King,02150
4180,570 Broadway,Revere,MA,Massachusetts,-71.0103,42.4134,Domino's Pizza,02151
4171,230 Main St,Medford,MA,Massachusetts,-71.11035,42.41117,Domino's Pizza,02155
4172,428 Salem St,Medford,MA,Massachusetts,-71.09214,42.422703,Domino's Pizza,02155
4176,383 Mystic Ave,Medford,MA,Massachusetts,-71.09816,42.40212,Burger King,02155
4136,627 Washington St,Quincy,MA,Massachusetts,-70.976131,42.246413,Pizza Hut,02169
4168,670 Adams St,Quincy,MA,Massachusetts,-71.033275,42.255975,Burger King,02169
4169,225 Quincy Ave,Quincy,MA,Massachusetts,-70.9912,42.2412,Domino's Pizza,02169
4173,62 Granite St,Quincy,MA,Massachusetts,-71.004319,42.247904,Burger King,02169
4227,191 Newport Ave,Quincy,MA,Massachusetts,-71.02426,42.269911,Wendy's,02170
4144,65 Newport Ave,Quincy,MA,Massachusetts,-71.02717,42.27145,Dunkin' Donuts,02171
4174,61 Hancock St,Quincy,MA,Massachusetts,-71.0366,42.2819,Domino's Pizza,02171
4153,165 Pearl St,Braintree,MA,Massachusetts,-70.99957,42.202827,Burger King,02184
4209,824 Washington St,East Weymouth,MA,Massachusetts,-70.94344,42.20084,Domino's Pizza,02189
4179,4 Union St,South Weymouth,MA,Massachusetts,-70.95057,42.17422,Domino's Pizza,02190
4167,493 Beacon St,Boston,MA,Massachusetts,-71.089688,42.350793,Subway,02215
4186,27 Westgate Drive,Brockton,MA,Massachusetts,-71.04739,42.08959,Five Guys,02301
4188,664 Crescent St Route 27,Brockton,MA,Massachusetts,-70.9919,42.0813,McDonald's,02302
